ApertureRA,ApertureDec,Magnitude,RAdeg,DEdeg,Vmag
1.639459,20.284393,-13.8061,1.63947269509,20.28444273361,14.928887
1.608483,20.278946,-14.1488,1.60845089372,20.27902477969,14.570581
1.534026,20.264923,-13.1601,1.53395952612,20.26493574242,15.578887
1.594895,20.24927,-14.481,1.59497304197,20.24937690668,14.240785
1.574957,20.221454,-13.6849,1.57491358676,20.22150024088,15.025958
1.633045,20.219039,-13.2875,1.63310215931,20.21906659445,15.439362
1.504223,20.212716,-13.448,1.50409535737,20.21275721239,15.277718
1.581494,20.202903,-13.7017,1.58140543294,20.20294908207,14.768952
